rank,priority,industry_label,quality_score,source,platform,author,profile_url,compose_url,contact_mode,fit_tier,source_url,published_at,title,signal_summary,recommended_offer,first_message,next_action
11,P1,抖音候选 / 本硕博留学申请,72,public_web_search_candidate,抖音,Dr CC留学学姐,,,manual_profile_or_source,platform_candidate,https://www.douyin.com/user/MS4wLjABAAAA9Gz8ELtIRFPdm0WQ0-jlnjAe1rvIe7pAurOINYafu0Y5y7yylxoa1n4dhe3yI3fA,,本硕博留学申请短视频账号,公开抖音主页显示本硕博留学申请、英国/澳洲/港澳等方向，作品包含 26fall 和留学机构话题。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在抖音做本硕博留学申请短视频账号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
12,P1,抖音候选 / 英国本科留学,72,public_web_search_candidate,抖音,Gabby讲留学小助手,,,manual_profile_or_source,platform_candidate,https://www.douyin.com/video/7524552229337058602,,英国本科留学内容号,公开视频标签包含 Gabby讲留学、思答教育和英国本科留学，适合人工核对机构/顾问属性。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在抖音做英国本科留学内容号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
13,P1,贴吧候选 / 留学中介内容号,72,public_web_search_candidate,贴吧,momo留学日记,,,manual_profile_or_source,platform_candidate,https://tieba.baidu.com/p/9257059569,,英国本科留学中介优劣势分析,贴吧公开帖整理英国本科留学机构优劣势，适合作为内容号或机构名单线索，需人工核对作者身份。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在贴吧做英国本科留学中介优劣势分析相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
14,P1,B站候选 / 澳洲留学申请,66,public_web_search_candidate,B站,澳洲达伦哥,,,manual_profile_or_source,platform_candidate,https://www.bilibili.com/video/BV1vt4y1e7Tm/,,留学申请转代理解析,B站视频聚焦澳洲/英国留学申请和转代理问题，适合核对是否为留学服务提供者。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在B站做留学申请转代理解析相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
15,P1,B站候选 / 留学顾问内容号,64,public_web_search_candidate,B站,殷博士说留学,,,manual_profile_or_source,platform_candidate,https://www.bilibili.com/video/BV1Dq4y1q72b/,,如何与留学顾问高效沟通,B站账号持续输出留学顾问沟通、申请准备和留学经验内容，可人工核对是否承接咨询。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在B站做如何与留学顾问高效沟通相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
16,P1,抖音候选 / 认证留学机构,64,public_web_search_candidate,抖音,成都新东方前途出国-留学咨询,,,manual_profile_or_source,platform_candidate,https://www.douyin.com/user/MS4wLjABAAAAZcY56fyaZy4NAcEeDCWVU5cdRGcTujzRJALqGISbFNkzPS16iS7fSGub5Vm1DNRQ,,新东方前途出国成都留学咨询账号,公开抖音主页为商家认证账号，简介是一站式留学机构，适合核对是否有本地团队商务触达入口。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在抖音做新东方前途出国成都留学咨询账号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
17,P1,知乎候选 / 香港留学机构,64,public_web_search_candidate,知乎,港智优留学,,,manual_profile_or_source,platform_candidate,https://zhuanlan.zhihu.com/p/2029971711513318258,,香港留学中介口碑排名内容,知乎专栏内容以港智优留学署名，介绍香港留学服务和中介口碑，适合核对是否为机构内容号。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在知乎做香港留学中介口碑排名内容相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
18,P1,知乎候选 / 英国留学中介测评,64,public_web_search_candidate,知乎,泰勒福特 / 无忧留学测评,,,manual_profile_or_source,platform_candidate,https://zhuanlan.zhihu.com/p/687911990,,北京无忧留学中介测评内容,知乎专栏介绍无忧留学及顾问服务，适合作为机构名单线索，需人工核对作者和机构关系。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在知乎做北京无忧留学中介测评内容相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
19,P1,领英候选 / 留学定制服务,64,public_web_search_candidate,领英,择由教育 ChoiceFree Education,,,manual_profile_or_source,platform_candidate,https://www.linkedin.com/company/%E6%8B%A9%E7%94%B1%E6%95%99%E8%82%B2%EF%BC%88choicefree-education%EF%BC%89,,ChoiceFree Education study-abroad service,LinkedIn 公司页介绍留学定制服务和 study-abroad 申请支持，适合核对机构负责人或顾问联系人。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在领英做ChoiceFree Education study-abroad service相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
20,P1,B站候选 / 留学中介测评,58,public_web_search_candidate,B站,留学中介大揭秘,,,manual_profile_or_source,platform_candidate,https://www.bilibili.com/video/BV12pL3zcE7G/,,启德、立思辰英国留学境外服务对比,B站视频号定位留学中介测评和避坑指南，适合作为渠道观察或样本分发候选。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在B站做启德、立思辰英国留学境外服务对比相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
