rank,priority,industry_label,quality_score,source,platform,author,profile_url,compose_url,contact_mode,fit_tier,source_url,published_at,title,signal_summary,recommended_offer,first_message,next_action
11,P1,抖音候选 / 本硕博留学申请,72,public_web_search_candidate,抖音,Dr CC留学学姐,,,manual_profile_or_source,platform_candidate,https://www.douyin.com/user/MS4wLjABAAAA9Gz8ELtIRFPdm0WQ0-jlnjAe1rvIe7pAurOINYafu0Y5y7yylxoa1n4dhe3yI3fA,,本硕博留学申请短视频账号,公开抖音主页显示本硕博留学申请、英国/澳洲/港澳等方向，作品包含 26fall 和留学机构话题。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在抖音做本硕博留学申请短视频账号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
12,P1,抖音候选 / 英国本科留学,72,public_web_search_candidate,抖音,Gabby讲留学小助手,,,manual_profile_or_source,platform_candidate,https://www.douyin.com/video/7524552229337058602,,英国本科留学内容号,公开视频标签包含 Gabby讲留学、思答教育和英国本科留学，适合人工核对机构/顾问属性。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在抖音做英国本科留学内容号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
13,P1,贴吧候选 / 留学中介内容号,72,public_web_search_candidate,贴吧,momo留学日记,,,manual_profile_or_source,platform_candidate,https://tieba.baidu.com/p/9257059569,,英国本科留学中介优劣势分析,贴吧公开帖整理英国本科留学机构优劣势，适合作为内容号或机构名单线索，需人工核对作者身份。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在贴吧做英国本科留学中介优劣势分析相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
14,P1,B站候选 / 澳洲留学申请,66,public_web_search_candidate,B站,澳洲达伦哥,,,manual_profile_or_source,platform_candidate,https://www.bilibili.com/video/BV1vt4y1e7Tm/,,留学申请转代理解析,B站视频聚焦澳洲/英国留学申请和转代理问题，适合核对是否为留学服务提供者。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在B站做留学申请转代理解析相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
15,P1,B站候选 / 留学顾问内容号,64,public_web_search_candidate,B站,殷博士说留学,,,manual_profile_or_source,platform_candidate,https://www.bilibili.com/video/BV1Dq4y1q72b/,,如何与留学顾问高效沟通,B站账号持续输出留学顾问沟通、申请准备和留学经验内容，可人工核对是否承接咨询。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在B站做如何与留学顾问高效沟通相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
16,P1,抖音候选 / 认证留学机构,64,public_web_search_candidate,抖音,成都新东方前途出国-留学咨询,,,manual_profile_or_source,platform_candidate,https://www.douyin.com/user/MS4wLjABAAAAZcY56fyaZy4NAcEeDCWVU5cdRGcTujzRJALqGISbFNkzPS16iS7fSGub5Vm1DNRQ,,新东方前途出国成都留学咨询账号,公开抖音主页为商家认证账号，简介是一站式留学机构，适合核对是否有本地团队商务触达入口。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在抖音做新东方前途出国成都留学咨询账号相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
17,P1,知乎候选 / 香港留学机构,64,public_web_search_candidate,知乎,港智优留学,,,manual_profile_or_source,platform_candidate,https://zhuanlan.zhihu.com/p/2029971711513318258,,香港留学中介口碑排名内容,知乎专栏内容以港智优留学署名，介绍香港留学服务和中介口碑，适合核对是否为机构内容号。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在知乎做香港留学中介口碑排名内容相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
18,P1,知乎候选 / 英国留学中介测评,64,public_web_search_candidate,知乎,泰勒福特 / 无忧留学测评,,,manual_profile_or_source,platform_candidate,https://zhuanlan.zhihu.com/p/687911990,,北京无忧留学中介测评内容,知乎专栏介绍无忧留学及顾问服务，适合作为机构名单线索，需人工核对作者和机构关系。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在知乎做北京无忧留学中介测评内容相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
19,P1,领英候选 / 留学定制服务,64,public_web_search_candidate,领英,择由教育 ChoiceFree Education,,,manual_profile_or_source,platform_candidate,https://www.linkedin.com/company/%E6%8B%A9%E7%94%B1%E6%95%99%E8%82%B2%EF%BC%88choicefree-education%EF%BC%89,,ChoiceFree Education study-abroad service,LinkedIn 公司页介绍留学定制服务和 study-abroad 申请支持，适合核对机构负责人或顾问联系人。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在领英做ChoiceFree Education study-abroad service相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
20,P1,B站候选 / 留学中介测评,58,public_web_search_candidate,B站,留学中介大揭秘,,,manual_profile_or_source,platform_candidate,https://www.bilibili.com/video/BV12pL3zcE7G/,,启德、立思辰英国留学境外服务对比,B站视频号定位留学中介测评和避坑指南，适合作为渠道观察或样本分发候选。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在B站做启德、立思辰英国留学境外服务对比相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
21,P1,领英候选 / 国际教育咨询公司,58,public_web_search_candidate,领英,藤顺国际教育咨询,,,manual_profile_or_source,platform_candidate,https://www.linkedin.com/company/tensenedu,,Tensen International study abroad consulting,LinkedIn 公司页显示教育咨询、college application、career planning 等服务，适合人工核对商务触达对象。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在领英做Tensen International study abroad consulting相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
22,P1,领英候选 / 高端留学品牌,58,public_web_search_candidate,领英,优弗留学,,,manual_profile_or_source,platform_candidate,https://cn.linkedin.com/company/useful-education,,优弗留学 LinkedIn 公司页,LinkedIn 公司页显示高端留学、Education Counseling、Study Abroad 和 University Application 服务。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在领英做优弗留学 LinkedIn 公司页相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
23,P1,领英候选 / 国际教育集团,58,public_web_search_candidate,领英,融尚国际教育集团,,,manual_profile_or_source,platform_candidate,https://www.linkedin.com/company/shang-learning,,Shang Learning international education advisory,LinkedIn 公司页介绍 international education advisory、study abroad consulting 和 admissions 相关服务。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在领英做Shang Learning international education advisory相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
24,P1,领英候选 / 老牌留学机构,58,public_web_search_candidate,领英,中智留学,,,manual_profile_or_source,platform_candidate,https://cn.linkedin.com/company/%E4%B8%8A%E6%B5%B7%E4%B8%AD%E6%99%BA%E5%9B%BD%E9%99%85%E6%95%99%E8%82%B2%E5%92%A8%E8%AF%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,上海中智国际教育咨询公司,LinkedIn 公司页介绍中智留学的语言培训、留学申请、海外服务和国际学校业务。,待核对候选：先打开公开页面确认账号身份和触达入口，确认后再作为 P0/P1 手动触达。,"你好，我看到你在领英做上海中智国际教育咨询公司相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，把原帖、需求摘要、意向判断和建议破冰话术整理成可交付样本，不碰手机号、微信号或私信数据。

如果你这边承接留学咨询/机构合作，我可以先发 4 条免费样本给你判断质量；如果不直接承接，也可以看看是否适合做内容选题或转介绍合作。",待核对候选：打开公开页面确认账号身份、业务承接和触达入口，确认后再手动私信。
25,P2,平台搜索 / 小红书,70,manual_platform_search_plan,小红书,平台搜索任务：小红书,,,manual_search_task,platform_task,https://www.xiaohongshu.com/search_result?keyword=%E7%95%99%E5%AD%A6%E9%A1%BE%E9%97%AE%20%E8%8B%B1%E5%9B%BD%E7%95%99%E5%AD%A6%2026fall,,小红书留学顾问和机构账号补充,继续在小红书补直客：优先找主页明确承接咨询、持续发布申请内容、评论区有学生提问的顾问/机构号。,先补足该平台 5-10 个可核对账号，再把合格直客加入 P0/P1 触达队列；不伪造客户，不自动私信。,"搜索关键词：留学顾问、英国留学、G5申请、26fall、英港申请、留学中介推荐

筛选规则：只保留公开主页显示为留学机构、留学顾问、国际教育内容号、机构市场/增长负责人的账号；排除学生/家长求助帖、纯攻略号、无咨询承接迹象的泛内容号。

找到合格账号后可发：你好，我看到你在小红书做留学申请/顾问相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，每条包含原帖链接、需求摘要、意向判断和建议破冰话术，不碰手机号、微信号或私信数据。我可以先发 4 条免费样本给你判断质量；如果能用，再按你的主做方向整理 30-50 条，首轮 999。",平台搜索任务：打开搜索入口，按筛选规则补 5-10 个真实账号，再人工升级为 P0/P1。
26,P2,平台搜索 / 微博,68,manual_platform_search_plan,微博,平台搜索任务：微博,,,manual_search_task,platform_task,https://s.weibo.com/weibo?q=%E7%95%99%E5%AD%A6%E9%A1%BE%E9%97%AE+26fall+%E8%8B%B1%E5%9B%BD%E7%95%99%E5%AD%A6,,微博留学机构和社群号补充,在微博找机构号、顾问号、offer播报号和渠道号；直客优先，渠道号只做合作观察。,先补足该平台 5-10 个可核对账号，再把合格直客加入 P0/P1 触达队列；不伪造客户，不自动私信。,"搜索关键词：留学顾问、留学机构、英国留学申请、26fall、offer播报、留学中介

筛选规则：只保留公开主页显示为留学机构、留学顾问、国际教育内容号、机构市场/增长负责人的账号；排除学生/家长求助帖、纯攻略号、无咨询承接迹象的泛内容号。

找到合格账号后可发：你好，我看到你在微博做留学申请/顾问相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，每条包含原帖链接、需求摘要、意向判断和建议破冰话术，不碰手机号、微信号或私信数据。我可以先发 4 条免费样本给你判断质量；如果能用，再按你的主做方向整理 30-50 条，首轮 999。",平台搜索任务：打开搜索入口，按筛选规则补 5-10 个真实账号，再人工升级为 P0/P1。
27,P2,平台搜索 / 知乎,64,manual_platform_search_plan,知乎,平台搜索任务：知乎,,,manual_search_task,platform_task,https://www.zhihu.com/search?type=content&q=%E7%95%99%E5%AD%A6%E9%A1%BE%E9%97%AE+%E8%8B%B1%E5%9B%BD%E7%95%99%E5%AD%A6+%E4%B8%AD%E4%BB%8B%E6%8E%A8%E8%8D%90,,知乎留学回答者和机构号补充,优先找回答里明确承接咨询的机构/顾问；只看公开回答和主页，不抓私信或联系方式。,先补足该平台 5-10 个可核对账号，再把合格直客加入 P0/P1 触达队列；不伪造客户，不自动私信。,"搜索关键词：留学顾问、留学中介推荐、英国留学申请、G5申请、选校定位

筛选规则：只保留公开主页显示为留学机构、留学顾问、国际教育内容号、机构市场/增长负责人的账号；排除学生/家长求助帖、纯攻略号、无咨询承接迹象的泛内容号。

找到合格账号后可发：你好，我看到你在知乎做留学申请/顾问相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，每条包含原帖链接、需求摘要、意向判断和建议破冰话术，不碰手机号、微信号或私信数据。我可以先发 4 条免费样本给你判断质量；如果能用，再按你的主做方向整理 30-50 条，首轮 999。",平台搜索任务：打开搜索入口，按筛选规则补 5-10 个真实账号，再人工升级为 P0/P1。
28,P2,平台搜索 / B站,64,manual_platform_search_plan,B站,平台搜索任务：B站,,,manual_search_task,platform_task,https://search.bilibili.com/all?keyword=%E8%8B%B1%E5%9B%BD%E7%95%99%E5%AD%A6+%E9%A1%BE%E9%97%AE+26fall,,B站留学 UP 主和机构号补充,找持续做留学申请视频的 UP 主、机构号和直播号；优先有课程/咨询承接迹象的账号。,先补足该平台 5-10 个可核对账号，再把合格直客加入 P0/P1 触达队列；不伪造客户，不自动私信。,"搜索关键词：英国留学、留学顾问、G5申请、留学中介、26fall申请

筛选规则：只保留公开主页显示为留学机构、留学顾问、国际教育内容号、机构市场/增长负责人的账号；排除学生/家长求助帖、纯攻略号、无咨询承接迹象的泛内容号。

找到合格账号后可发：你好，我看到你在B站做留学申请/顾问相关内容。我这边在做 LeadPulse，用公开平台上的留学需求帖做人工清洗，每条包含原帖链接、需求摘要、意向判断和建议破冰话术，不碰手机号、微信号或私信数据。我可以先发 4 条免费样本给你判断质量；如果能用，再按你的主做方向整理 30-50 条，首轮 999。",平台搜索任务：打开搜索入口，按筛选规则补 5-10 个真实账号，再人工升级为 P0/P1。
